id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
61189,"Matt Sommerfeld",0,CAN,0.5,0.40384615384615385,L,2000,253,1,0.7444444444444445,0.0136986301369863,0.029411764705882353,0.02531645569620253,0.4488517745302714,0.576,0.16666666666666666,0,0,0,0.125,0,0,no
61190,"Troy Ferguson",0.14285714285714285,USA,0.14285714285714285,0,C,2000,276,1,0.4666666666666667,0.0684931506849315,0.06862745098039216,0.0759493670886076,0.020876826722338204,0.528,0,0,0,0,0,0,0,no
61191,"Ryan Courtney",0,CAN,0.5714285714285714,0.4230769230769231,C,2000,277,0.680952380952381,0.7222222222222222,0.136986301369863,0.21568627450980393,0.20253164556962025,0.0918580375782881,0.632,0.4,0,0.038461538461538464,0.021739130434782608,0.075,0,0,no
61192,"James Demone",0,CAN,0.7857142857142857,0.6730769230769231,D,2000,283,0.8952380952380953,0.6222222222222222,0.0273972602739726,0.0784313725490196,0.06329113924050633,0.3778705636743215,0.368,0,0,0,0,0,0,0,no
61675,"Ben Knopp",0,CAN,0.35714285714285715,0.17307692307692307,R,2000,69,0.19523809523809524,0.8,0.410958904109589,0.29411764705882354,0.379746835443038,0.21085594989561587,0.52,0.13333333333333333,0.09523809523809523,0.07692307692307693,0.08695652173913043,0.03333333333333333,0,0,no
64695,"Jason Crain",0.07142857142857142,USA,0.5714285714285714,0.4423076923076923,D,1999,74,0.3047619047619048,0.45555555555555555,0.0410958904109589,0.13725490196078433,0.10759493670886076,0.037578288100208766,0.552,0,0,0,0,0,0,0,no
64736,"Mark Concannon",0.07142857142857142,USA,0.42857142857142855,0.2980769230769231,L,1999,82,0.7142857142857143,0.28888888888888886,0.3150684931506849,0.37254901960784315,0.3860759493670886,0.022964509394572025,0.552,0,0,0,0,0,0,0,no
64738,"David Kaczowka",0,CAN,0.5,0.6730769230769231,L,1999,98,0.8285714285714286,0.6666666666666666,0.0410958904109589,0.0196078431372549,0.03164556962025317,0.5156576200417536,0.552,0.3,0,0,0,0.2,0,0,no
64739,"Morgan Mccormick",0,CAN,0.6428571428571429,0.5288461538461539,R,1999,103,0.41904761904761906,0.37777777777777777,0.0821917808219178,0.049019607843137254,0.06962025316455696,0.08977035490605428,0.472,0.16666666666666666,0,0,0,0.10833333333333334,0,0,no
64939,"Craig Brunel",0.14285714285714285,CAN,0.35714285714285715,0.5673076923076923,R,1999,263,0.9095238095238095,0.5555555555555556,0.136986301369863,0.0784313725490196,0.11392405063291139,0.36116910229645094,0.552,0.4666666666666667,0.19047619047619047,0.07692307692307693,0.13043478260869565,0.4,0,0,no
64940,"Brian Mcmeekin",0.14285714285714285,CAN,0.6428571428571429,0.4423076923076923,D,1999,260,0.9095238095238095,0.28888888888888886,0,0.00980392156862745,0.006329113924050633,0.025052192066805846,0.552,0,0,0,0,0,0,0,no
64942,"Justin Dziama",0.07142857142857142,USA,0.5714285714285714,0.5673076923076923,R,1999,242,0.8,0.3,0.273972602739726,0.16666666666666666,0.23417721518987342,0.04175365344467641,0.552,0,0,0,0,0,0,0,no
64943,"Anton Borodkin",0,EURO,0.2857142857142857,0.3173076923076923,L,1999,238,0.6190476190476191,0.7888888888888889,0.1095890410958904,0.28431372549019607,0.23417721518987342,0.2045929018789144,0.568,0.4,0,0.038461538461538464,0.021739130434782608,0.06666666666666667,0,0,no
65114,"David Evans",0.07142857142857142,USA,0.5,0.38461538461538464,L,1999,231,0.42857142857142855,0.36666666666666664,0.0821917808219178,0.09803921568627451,0.10126582278481013,0.012526096033402923,0.568,0,0,0,0,0,0,0,no
65116,"Eric Betournay",0,CAN,0.42857142857142855,0.3557692307692308,C,1999,229,0.21428571428571427,0.7777777777777778,0.2191780821917808,0.28431372549019607,0.2848101265822785,0.11899791231732777,0.576,0.7666666666666667,0.09523809523809523,0.23076923076923078,0.17391304347826086,0.15,0,0,no
65186,"Yevgeni Gusakov",0,EURO,0.7857142857142857,0.46153846153846156,L,1999,226,0.34285714285714286,0.4666666666666667,0.1643835616438356,0.029411764705882353,0.0949367088607595,0.05845511482254697,0.552,0,0,0,0,0,0,0,no
65187,"Andrew Carver",0,CAN,0.5,0.46153846153846156,D,1999,223,0.20476190476190476,0.7222222222222222,0.0273972602739726,0.14705882352941177,0.10759493670886076,0.21711899791231734,0.552,0.7666666666666667,0,0.038461538461538464,0.021739130434782608,0.18333333333333332,0,0,no
65188,"Ryan Lauzon",0.07142857142857142,CAN,0.21428571428571427,0.27884615384615385,C,1999,116,0.5428571428571428,0.6333333333333333,0.2876712328767123,0.46078431372549017,0.43037974683544306,0.07515657620041753,0.552,0.7666666666666667,0.14285714285714285,0.7692307692307693,0.5,0.08333333333333333,0,0,no
66006,"Yevgeni Pastukh",0.07142857142857142,EURO,0.2857142857142857,0.17307692307692307,L,1998,225,0.43333333333333335,0.32222222222222224,0.0821917808219178,0.058823529411764705,0.0759493670886076,0.033402922755741124,0.552,0.1,0,0,0,0,0,0,no
70121,"Jim Baxter",0.14285714285714285,CAN,0.5714285714285714,0.7211538461538461,D,1999,202,0.9095238095238095,0.7333333333333333,0.3013698630136986,0.5098039215686274,0.46835443037974683,0.04175365344467641,0.616,0.4666666666666667,0.19047619047619047,0.3076923076923077,0.2608695652173913,0.03333333333333333,0,0,no
74628,"Francois Senez",0.07142857142857142,CAN,0.5714285714285714,0.5288461538461539,D,2001,288,0.5714285714285714,0.23333333333333334,0,0.029411764705882353,0.0189873417721519,0.029227557411273485,0.552,0,0,0,0,0,0,0,no
74668,"Dan Hulak",0,CAN,0.5714285714285714,0.27884615384615385,D,1998,221,0.43333333333333335,0.7777777777777778,0.0410958904109589,0.13725490196078433,0.10759493670886076,0.06680584551148225,0.544,0.4,0,0.07692307692307693,0.043478260869565216,0.016666666666666666,0,0,no
